,commodity,R2-score
0,arhar,0.9297187351383593
1,bajra,0.8351992039165578
2,barley,0.47171087866979855
3,copra,0.6521738160479749
4,cotton,0.8643058104269351
5,sesamum,0.7185645657634041
6,gram,-2.797623089522926
7,groundnut,0.06058150603258461
8,jowar,0.5164190641747894
9,maize,0.35410530037866417
10,masoor,0.8639820833979345
11,moong,0.9365894915270425
12,niger,0.9680780380158984
13,paddy,0.9829762241083847
14,ragi,0.9424179642105516
15,rape,0.08515231773487908
16,jute,0.8653317672200918
17,safflower,0.7307119609885004
18,soyabean,0.21271250411954912
19,sugarcane,0.9963320004080448
20,sunflower,-0.32712172732049205
21,urad,0.899282408660618
22,wheat,0.5424184455137653
